index;Rental_state;Start;End;Revenue;Distance;duration_minute;revenue_minute;revenue_km;car_id;accum_distance;battery_left;Running_revenue;Running_Minutes;minutes_until_breakeven;;
40254;RED;18/01/2017 06:45:59;18/01/2017 06:49:00;0,78;1;3,017583333;0,258484991;0,78;1;81;59,5;;;-540;;
9970;RED;18/01/2017 06:56:45;18/01/2017 07:05:41;1,82;4;8,92055;0,204023295;0,455;1;85;57,5;;;-540;;
86212;RED;18/01/2017 10:04:23;18/01/2017 10:12:40;1,61;3;8,277116667;0,194512179;0,536666667;1;88;56;;;-540;;
27228;RED;18/01/2017 13:25:45;18/01/2017 13:33:10;0;0;7,419466667;0;0;1;88;56;;;-540;;
4019;RED;18/01/2017 14:17:33;18/01/2017 14:31:37;2,82;6;14,05256667;0,200675084;0,47;1;94;53;;;-540;;
2372;RED;18/01/2017 14:32:09;18/01/2017 14:50:48;3,83;6;18,65013333;0,205360462;0,638333333;1;100;50;;;-540;;
51851;RED;18/01/2017 14:52:23;18/01/2017 15:05:26;2,62;3;13,05153333;0,200742697;0,873333333;1;103;48,5;;;-540;;
3678;RED;18/01/2017 15:36:48;18/01/2017 15:58:52;4,44;11;22,0515;0,201346847;0,403636364;1;114;43;;;-540;;
98269;RED;18/01/2017 16:08:18;18/01/2017 16:36:13;5,23;7;27,90586667;0,187415788;0,747142857;1;121;39,5;;;-540;;
66805;RED;18/01/2017 16:37:03;18/01/2017 16:48:30;2,42;5;11,43666667;0,211600117;0,484;1;126;37;;;-540;;
32938;RED;18/01/2017 17:24:19;18/01/2017 17:35:10;2,22;3;10,8483;0,204640358;0,74;1;129;35,5;;;-540;;
70681;RED;19/01/2017 15:44:07;19/01/2017 16:00:58;3,43;14;16,84141667;0,203664577;0,245;1;143;28,5;;;-540;;
6732;RED;19/01/2017 16:02:09;19/01/2017 16:07:18;1,3;1;5,160933333;0,251892423;1,3;1;144;28;;;-540;;
297;RED;19/01/2017 16:10:11;19/01/2017 16:52:16;11,37;12;42,07406667;0,270237724;0,9475;1;156;22;;;-540;;
45108;RED;19/01/2017 17:09:35;19/01/2017 18:07:12;10,61;12;57,61108333;0,184165952;0,884166667;1;0;100;;;-540;;
77701;RED;20/01/2017 04:45:44;20/01/2017 05:01:37;3,23;8;15,88218333;0,203372542;0,40375;1;8;96;;;-540;;
75947;RED;20/01/2017 05:34:44;20/01/2017 05:50:14;3,03;12;15,50675;0,195398778;0,2525;1;20;90;;;-540;;
77426;RED;20/01/2017 05:52:19;20/01/2017 06:23:31;7,77;18;31,19931667;0,249043916;0,431666667;1;38;81;;;-540;;
98919;RED;20/01/2017 11:09:42;20/01/2017 11:18:28;1,82;3;8,765166667;0,207640091;0,606666667;1;41;79,5;;;-540;;
11252;RED;20/01/2017 11:21:04;20/01/2017 12:47:16;15,88;28;86,19463333;0,184234208;0,567142857;1;69;65,5;;;-540;;
80389;RED;20/01/2017 14:58:27;20/01/2017 15:15:06;3,23;7;16,64656667;0,194034005;0,461428571;1;76;62;;;-540;;
39119;RED;20/01/2017 15:24:49;20/01/2017 15:35:05;2,02;3;10,25796667;0,196920117;0,673333333;1;79;60,5;;;-540;;
85431;RED;20/01/2017 15:40:07;20/01/2017 15:55:58;3,23;6;15,84466667;0,203854083;0,538333333;1;85;57,5;;;-540;;
2618;RED;20/01/2017 18:23:30;20/01/2017 18:46:00;5,59;7;22,511;0,248323042;0,798571429;1;92;54;;;-540;;
43521;RED;20/01/2017 19:25:44;20/01/2017 19:35:51;2,22;4;10,10713333;0,21964685;0,555;1;96;52;;;-540;;
48637;RED;20/01/2017 19:36:42;20/01/2017 19:42:59;1,21;2;6,2893;0,19239025;0,605;1;98;51;;;-540;;
9203;RED;21/01/2017 06:34:54;21/01/2017 06:45:53;2,14;3;10,996;0,194616224;0,713333333;1;101;49,5;;;-540;;
17622;RED;21/01/2017 08:31:10;21/01/2017 08:39:49;1,49;1;8,657;0,172115051;1,49;1;102;49;;;-540;;
98360;RED;21/01/2017 08:40:23;21/01/2017 09:25:56;7,69;3;45,55605;0,168803046;2,563333333;1;105;47,5;;;-540;;
15226;RED;21/01/2017 10:12:21;21/01/2017 10:42:53;7,87;14;30,54031667;0,257692154;0,562142857;1;119;40,5;;;-540;;
84751;RED;21/01/2017 12:30:01;21/01/2017 13:00:06;5,88;13;30,06976667;0,195545249;0,452307692;1;132;34;;;-540;;
81513;RED;21/01/2017 15:00:24;21/01/2017 15:32:51;7,59;9;32,44668333;0,233922214;0,843333333;1;141;29,5;;;-540;;
86898;RED;21/01/2017 18:32:22;21/01/2017 18:47:08;3,03;6;14,76411667;0,205227314;0,505;1;147;26,5;;;-540;;
4824;RED;21/01/2017 19:13:13;21/01/2017 19:30:36;3,63;8;17,38705;0,208776072;0,45375;1;155;22,5;;;-540;;
43644;RED;21/01/2017 19:52:35;21/01/2017 20:02:52;2,61;2;10,27321667;0,254058693;1,305;1;157;21,5;;;-540;;
74508;RED;21/01/2017 20:02:56;21/01/2017 20:16:10;2,82;6;13,24093333;0,212975923;0,47;1;0;100;;;-540;;
82576;RED;22/01/2017 05:33:32;22/01/2017 05:42:32;1,82;4;8,987833333;0,202495967;0,455;1;4;98;;;-540;;
40439;RED;22/01/2017 06:19:16;22/01/2017 06:33:37;2,82;9;14,34073333;0,196642664;0,313333333;1;13;93,5;;;-540;;
61923;RED;22/01/2017 06:53:14;22/01/2017 07:08:09;3,03;8;14,91545;0,203145061;0,37875;1;21;89,5;;;-540;;
56281;RED;22/01/2017 10:40:41;22/01/2017 11:17:00;6,98;16;36,31343333;0,192215369;0,43625;1;37;81,5;;;-540;;
15563;RED;22/01/2017 11:18:08;22/01/2017 11:27:46;2,02;3;9,635633333;0,209638529;0,673333333;1;40;80;;;-540;;
92033;RED;22/01/2017 14:37:08;22/01/2017 15:16:06;6,65;4;38,95113333;0,17072674;1,6625;1;44;78;;;-540;;
97633;RED;22/01/2017 19:15:25;22/01/2017 19:29:48;3,71;5;14,3843;0,257920093;0,742;1;49;75,5;;;-540;;
59435;RED;22/01/2017 23:20:39;22/01/2017 23:37:31;3,43;9;16,86133333;0,203424008;0,381111111;1;58;71;;;-540;;
15237;RED;23/01/2017 07:52:18;23/01/2017 08:06:59;2,94;4;14,67831667;0,200295447;0,735;1;62;69;;;-540;;
40597;RED;23/01/2017 08:08:04;23/01/2017 08:49:05;7,94;9;41,01081667;0,193607459;0,882222222;1;71;64,5;;;-540;;
88026;RED;23/01/2017 10:20:26;23/01/2017 10:25:22;1,01;1;4,92055;0,205261607;1,01;1;72;64;;;-540;;
11817;RED;23/01/2017 10:48:16;23/01/2017 11:03:29;3,03;6;15,21608333;0,199131402;0,505;1;78;61;;;-540;;
11158;RED;23/01/2017 12:10:14;23/01/2017 12:21:29;2,22;3;11,24168333;0,197479322;0,74;1;81;59,5;;;-540;;
42862;RED;23/01/2017 12:29:15;23/01/2017 12:40:18;2,22;3;11,0611;0,200703366;0,74;1;84;58;;;-540;;
82296;RED;23/01/2017 12:40:58;23/01/2017 13:22:59;7,83;9;42,0084;0,186391293;0,87;1;93;53,5;;;-540;;
86497;RED;23/01/2017 13:25:52;23/01/2017 13:45:09;3,83;8;19,2881;0,198568029;0,47875;1;101;49,5;;;-540;;
47201;RED;23/01/2017 13:46:56;23/01/2017 14:27:49;7,22;4;40,88715;0,176583597;1,805;1;105;47,5;;;-540;;
3198;RED;23/01/2017 15:40:01;23/01/2017 15:56:40;3,35;4;16,65883333;0,201094514;0,8375;1;109;45,5;;;-540;;
27456;RED;23/01/2017 16:41:24;23/01/2017 16:54:07;2,62;4;12,71376667;0,206075829;0,655;1;113;43,5;;;-540;;
10870;RED;23/01/2017 18:14:44;23/01/2017 18:25:18;2,22;3;10,56725;0,21008304;0,74;1;116;42;;;-540;;
67861;RED;24/01/2017 00:54:06;24/01/2017 01:03:23;1,82;4;9,286766667;0,195977789;0,455;1;120;40;;;-540;;
