Rental_state,Start,End,Revenue,Distance
GREEN,2017-03-06 18:42:03.1420000,2017-03-06 18:51:15.5930000,0.0,0
GREEN,2017-08-30 22:50:35.6850000,2017-08-30 22:51:16.1670000,0.0,0
RED,2017-10-02 12:13:35.2450000,2017-10-02 14:11:44.3910000,0.0,35
GREEN,2017-12-01 16:38:08.8920000,2017-12-01 16:51:21.4510000,0.0,0
GREEN,2017-04-09 10:18:34.1960000,2017-04-09 10:31:55.1210000,0.0,0
RED,2017-11-15 21:17:09.3890000,2017-11-15 21:26:19.4540000,2.61,3
GREEN,2017-10-31 12:16:11.9450000,2017-10-31 20:40:55.8190000,0.0,0
RED,2017-06-15 12:15:40.7650000,2017-06-15 12:40:05.1860000,4.96,7
GREEN,2017-03-31 15:00:55.4830000,2017-03-31 15:16:20.3420000,0.0,0
RED,2017-09-29 16:28:10.5120000,2017-09-29 17:21:51.6020000,11.8,11
GREEN,2017-03-31 04:24:57.3620000,2017-03-31 10:28:11.4060000,0.0,0
RED,2017-04-20 20:56:55.8540000,2017-04-20 21:09:11.6660000,2.62,4
GREEN,2017-10-23 20:20:44.0290000,2017-10-23 20:42:30.9190000,0.0,0
GREEN,2017-06-26 01:23:09.1340000,2017-06-26 08:36:16.9420000,0.0,0
RED,2017-05-25 13:32:53.9220000,2017-05-25 13:59:27.7440000,5.45,15
GREEN,2017-05-14 17:15:38.8070000,2017-05-14 17:35:49.9040000,0.0,0
GREEN,2017-12-31 10:51:10.6430000,2017-12-31 11:29:20.5840000,0.0,0
RED,2017-06-29 22:44:22.9270000,2017-06-29 23:09:23.7360000,6.51,10
RED,2017-10-04 10:22:17.7190000,2017-10-04 10:37:05.5160000,3.5,6
GREEN,2017-12-02 23:01:10.1730000,2017-12-02 23:07:41.2450000,0.0,0
GREEN,2017-02-14 21:51:58.1600000,2017-02-14 21:52:25.4790000,0.0,0
RED,2017-04-22 09:43:41.9820000,2017-04-22 16:43:19.3260000,25.47,22
GREEN,2017-04-02 18:29:39.3490000,2017-04-02 18:29:53.2180000,0.0,0
RED,2017-09-25 14:23:16.9000000,2017-09-25 14:57:38.6170000,7.65,11
RED,2017-04-10 14:53:46.8860000,2017-04-10 15:03:48.1730000,2.61,2
RED,2017-01-02 16:09:31.1540000,2017-01-02 16:30:00.7100000,4.03,9
GREEN,2017-11-16 12:08:14.0950000,2017-11-16 12:11:47.8730000,0.0,0
GREEN,2017-07-01 16:22:58.4590000,2017-07-01 18:09:22.4890000,0.0,0
RED,2017-10-20 21:05:29.1140000,2017-10-20 21:20:50.4620000,4.57,9
RED,2017-07-06 08:24:12.7840000,2017-07-06 08:31:58.3330000,1.78,2
RED,2017-12-01 13:14:02.1330000,2017-12-01 13:22:40.6460000,1.97,2
GREEN,2017-04-05 19:28:19.4710000,2017-04-05 19:34:56.8320000,0.0,0
GREEN,2017-04-25 16:24:08.9540000,2017-04-25 16:55:23.4650000,0.0,0
GREEN,2017-06-16 18:41:10.0260000,2017-06-16 18:49:00.2700000,0.0,0
GREEN,2017-03-02 12:11:25.5410000,2017-03-02 12:14:52.7060000,0.0,0
GREEN,2017-09-12 21:22:18.5950000,2017-09-12 23:56:27.1830000,0.0,0
RED,2017-06-24 20:50:31.2000000,2017-06-24 21:18:39.4530000,5.65,12
RED,2017-08-15 17:37:09.2250000,2017-08-15 18:25:49.4720000,9.1,13
RED,2017-02-16 22:28:13.2840000,2017-02-16 22:34:43.2920000,1.41,3
GREEN,2017-02-21 06:51:10.0150000,2017-02-21 07:02:55.4520000,0.0,0
GREEN,2017-08-15 16:21:43.3840000,2017-08-15 16:21:50.9800000,0.0,0
RED,2017-08-09 12:49:29.7680000,2017-08-09 13:07:14.1370000,3.55,7
GREEN,2017-02-03 17:20:49.6960000,2017-02-03 21:21:25.7110000,0.0,0
RED,2017-02-17 13:04:59.0370000,2017-02-17 13:15:04.9120000,0.0,0
GREEN,2017-05-13 17:42:38.5360000,2017-05-13 18:12:08.4530000,0.0,0
GREEN,2017-12-19 17:50:46.7500000,2017-12-19 17:52:21.3630000,0.0,0
GREEN,2017-07-13 11:19:08.7440000,2017-07-13 11:19:55.8410000,0.0,0
GREEN,2017-06-17 09:55:10.0260000,2017-06-17 10:12:58.3530000,0.0,0
GREEN,2017-07-31 18:15:10.0310000,2017-07-31 18:40:54.4120000,0.0,0
RED,2017-07-10 21:19:19.1280000,2017-07-10 21:55:00.6720000,6.72,7
GREEN,2017-09-08 17:48:10.7630000,2017-09-08 17:51:49.4970000,0.0,0
RED,2017-08-28 22:20:42.5100000,2017-08-28 22:42:17.7080000,4.44,7
RED,2017-06-07 18:45:50.7690000,2017-06-07 18:55:40.6950000,2.56,2
RED,2017-06-07 21:22:05.5800000,2017-06-07 21:42:43.0450000,6.0,11
RED,2017-07-31 07:24:31.3990000,2017-07-31 08:00:44.8280000,7.26,25
GREEN,2017-01-17 11:39:03.5320000,2017-01-17 12:39:48.2290000,0.0,0
GREEN,2017-02-20 07:33:10.0350000,2017-02-20 07:33:22.2840000,0.0,0
GREEN,2017-05-07 20:29:13.2520000,2017-05-07 21:25:00.3180000,0.0,0
GREEN,2017-08-24 20:07:54.4700000,2017-08-24 21:22:42.7980000,0.0,0
GREEN,2017-08-28 18:56:54.2100000,2017-08-28 21:29:26.6430000,0.0,0
GREEN,2017-08-15 22:01:40.4610000,2017-08-16 11:41:57.1150000,0.0,0
RED,2017-01-16 07:31:53.2300000,2017-01-16 07:51:04.8610000,3.83,9
RED,2017-08-22 18:52:29.9510000,2017-08-22 19:09:25.2910000,3.43,7
RED,2017-02-22 06:43:55.0940000,2017-02-22 06:47:33.3360000,0.81,1
GREEN,2017-08-08 21:45:53.2690000,2017-08-08 21:58:00.3800000,0.0,0
RED,2017-01-26 11:29:08.6720000,2017-01-26 11:40:54.9690000,3.13,4
GREEN,2017-08-30 21:46:10.0240000,2017-08-30 22:13:08.0140000,0.0,0
GREEN,2017-10-07 20:12:24.2560000,2017-10-07 20:12:33.5940000,0.0,0
GREEN,2017-10-14 08:59:10.0590000,2017-10-14 09:01:59.4410000,0.0,0
RED,2017-07-01 09:34:26.6320000,2017-07-01 10:16:23.2940000,2.78,5
GREEN,2017-12-20 18:34:27.4240000,2017-12-20 18:47:56.7880000,0.0,0
RED,2017-10-31 08:38:47.8960000,2017-10-31 08:44:04.5630000,1.31,3
GREEN,2017-03-10 23:56:10.0340000,2017-03-11 00:01:24.5290000,0.0,0
GREEN,2017-05-28 13:36:57.1000000,2017-05-28 13:37:11.1730000,0.0,0
GREEN,2017-12-14 13:04:58.2470000,2017-12-14 13:10:12.3800000,0.0,0
RED,2017-11-10 09:09:15.1040000,2017-11-10 09:16:55.7050000,2.34,3
RED,2017-12-15 06:49:21.3720000,2017-12-15 06:53:41.2330000,0.87,1
GREEN,2017-09-19 20:07:17.0650000,2017-09-20 06:30:29.9340000,0.0,0
GREEN,2017-07-15 15:30:28.1910000,2017-07-15 15:36:48.0520000,0.0,0
RED,2017-03-29 16:11:47.8740000,2017-03-29 16:33:08.2110000,0.0,0
RED,2017-08-26 20:46:09.5660000,2017-08-26 21:01:21.3500000,3.03,5
GREEN,2017-03-13 12:00:07.6560000,2017-03-13 12:56:47.8180000,0.0,0
GREEN,2017-07-27 21:46:12.0470000,2017-07-28 11:23:54.3110000,0.0,0
GREEN,2017-07-01 13:10:42.0660000,2017-07-01 15:07:37.7880000,0.0,0
GREEN,2017-03-07 21:17:44.9260000,2017-03-07 21:50:34.7140000,0.0,0
GREEN,2017-02-14 08:07:03.5960000,2017-02-14 08:15:03.5260000,0.0,0
GREEN,2017-09-25 07:11:10.0230000,2017-09-25 07:33:51.2570000,0.0,0
GREEN,2017-08-24 18:27:22.7410000,2017-08-24 18:36:53.3570000,0.0,0
GREEN,2017-05-18 09:16:17.7270000,2017-05-18 09:46:08.0880000,0.0,0
GREEN,2017-09-08 10:02:14.6520000,2017-09-08 10:10:31.1160000,0.0,0
GREEN,2017-05-19 18:39:54.0330000,2017-05-19 18:40:26.7120000,0.0,0
GREEN,2017-05-29 09:49:28.1220000,2017-05-29 10:04:09.3640000,0.0,0
GREEN,2017-09-28 13:46:16.4970000,2017-09-28 19:02:24.2580000,0.0,0
RED,2017-01-03 23:21:42.6400000,2017-01-03 23:41:22.1470000,3.62,3
GREEN,2017-01-03 00:17:49.7720000,2017-01-03 07:39:40.4630000,0.0,0
RED,2017-10-31 00:18:30.8720000,2017-10-31 00:26:15.8350000,1.97,2
GREEN,2017-07-14 07:56:43.7000000,2017-07-14 07:59:22.5770000,0.0,0
GREEN,2017-04-26 12:21:10.9960000,2017-04-26 12:28:21.6250000,0.0,0
GREEN,2017-09-01 19:55:44.6580000,2017-09-01 19:57:01.9360000,0.0,0
GREEN,2017-09-28 20:09:34.1550000,2017-09-28 22:35:29.9330000,0.0,0
GREEN,2017-03-20 17:47:10.0770000,2017-03-20 17:58:54.8090000,0.0,0
GREEN,2017-12-31 20:14:00.6540000,2017-12-31 20:42:28.8960000,0.0,0
GREEN,2017-02-16 18:29:28.5290000,2017-02-16 18:30:28.1600000,0.0,0
GREEN,2017-03-17 21:50:27.7440000,2017-03-17 23:04:38.9530000,0.0,0
GREEN,2017-08-26 01:03:52.7650000,2017-08-26 09:12:51.9410000,0.0,0
GREEN,2017-07-17 15:58:10.0620000,2017-07-17 16:33:32.3380000,0.0,0
GREEN,2017-01-10 07:04:51.4340000,2017-01-10 07:07:39.7530000,0.0,0
RED,2017-05-27 23:30:20.6720000,2017-05-27 23:53:44.3680000,4.64,14
GREEN,2017-06-09 11:35:10.0210000,2017-06-09 23:41:43.6160000,0.0,0
GREEN,2017-10-04 12:52:48.8700000,2017-10-04 13:02:00.3970000,0.0,0
RED,2017-11-20 16:37:21.1030000,2017-11-20 17:01:21.5850000,5.24,4
RED,2017-09-20 19:22:51.4420000,2017-09-20 19:54:14.0850000,6.99,11
GREEN,2017-09-30 20:29:52.8170000,2017-09-30 20:31:36.3910000,0.0,0
GREEN,2017-08-14 08:42:51.0010000,2017-08-14 11:33:44.4020000,0.0,0
GREEN,2017-02-25 22:27:42.4250000,2017-02-25 22:28:41.6260000,0.0,0
RED,2017-08-22 12:12:35.6720000,2017-08-22 12:13:40.8550000,0.0,0
GREEN,2017-07-24 18:17:10.0700000,2017-07-24 18:23:43.4420000,0.0,0
RED,2017-11-10 11:41:51.4980000,2017-11-10 11:53:49.0560000,2.84,4
RED,2017-12-20 08:25:28.6310000,2017-12-20 08:51:43.8600000,5.9,6
GREEN,2017-07-14 22:51:33.8130000,2017-07-15 00:14:19.2430000,0.0,0
RED,2017-06-08 12:54:06.4280000,2017-06-08 13:06:36.5620000,2.62,4
RED,2017-07-11 10:20:39.6680000,2017-07-11 10:50:54.6750000,5.88,11
GREEN,2017-03-03 16:32:31.6130000,2017-03-03 16:38:47.1220000,0.0,0
GREEN,2017-09-07 21:31:18.5480000,2017-09-08 01:27:50.6580000,0.0,0
GREEN,2017-05-05 18:15:34.1830000,2017-05-05 18:40:56.9460000,0.0,0
GREEN,2017-04-10 17:37:30.5160000,2017-04-10 17:57:51.5520000,0.0,0
GREEN,2017-12-30 01:44:15.5610000,2017-12-30 02:13:50.5080000,0.0,0
GREEN,2017-12-25 20:34:26.4840000,2017-12-25 21:19:26.6430000,0.0,0
GREEN,2017-01-01 03:49:10.0130000,2017-01-01 04:42:29.4320000,0.0,0
RED,2017-08-21 17:53:27.2420000,2017-08-21 18:50:29.2160000,9.69,4
RED,2017-05-27 02:01:26.2890000,2017-05-27 02:26:59.3150000,5.04,17
RED,2017-03-23 09:37:23.3570000,2017-03-23 09:55:34.3690000,4.95,10
GREEN,2017-02-26 13:25:28.8940000,2017-02-26 14:22:52.3280000,0.0,0
GREEN,2017-08-28 19:31:10.2270000,2017-08-28 20:27:42.5380000,0.0,0
RED,2017-10-26 13:14:17.1220000,2017-10-26 13:47:43.2040000,7.43,6
GREEN,2017-02-10 19:01:30.2490000,2017-02-10 19:06:09.2970000,0.0,0
RED,2017-12-16 13:47:21.8340000,2017-12-16 14:01:58.0970000,3.28,5
GREEN,2017-09-11 15:03:52.4900000,2017-09-11 17:34:45.1730000,0.0,0
RED,2017-02-04 17:40:32.7580000,2017-02-04 18:33:03.4410000,9.89,14
GREEN,2017-03-04 20:07:57.2530000,2017-03-04 20:23:34.5310000,0.0,0
GREEN,2017-06-06 09:53:40.9250000,2017-06-06 11:36:02.8950000,0.0,0
RED,2017-09-29 17:50:40.2970000,2017-09-29 18:08:40.0490000,3.93,8
GREEN,2017-05-11 13:02:23.8830000,2017-05-11 13:35:52.6790000,0.0,0
RED,2017-08-29 16:14:54.2250000,2017-08-29 16:18:29.1140000,0.81,1
RED,2017-06-14 20:33:37.5760000,2017-06-14 20:55:02.1330000,4.44,9
RED,2017-09-27 17:42:55.5880000,2017-09-27 18:10:10.5110000,5.9,11
RED,2017-10-08 04:04:07.4150000,2017-10-08 04:27:54.6900000,5.46,11
GREEN,2017-02-01 20:02:10.8240000,2017-02-01 20:05:30.8960000,0.0,0
GREEN,2017-06-11 10:15:10.0390000,2017-06-11 11:03:10.3050000,0.0,0
RED,2017-07-20 20:28:39.4820000,2017-07-20 20:44:56.1210000,3.23,5
GREEN,2017-09-28 22:46:52.7390000,2017-09-28 22:48:58.4210000,0.0,0
RED,2017-02-21 10:04:33.8120000,2017-02-21 10:13:44.3370000,1.73,3
RED,2017-03-27 06:54:37.1850000,2017-03-27 07:08:15.4810000,2.62,6
GREEN,2017-03-08 23:01:07.8080000,2017-03-09 06:14:03.5080000,0.0,0
RED,2017-12-21 11:53:44.3040000,2017-12-21 12:05:36.7780000,2.84,3
GREEN,2017-08-22 08:12:10.2400000,2017-08-22 09:34:42.1470000,0.0,0
GREEN,2017-05-05 15:05:50.6550000,2017-05-05 15:14:45.5040000,0.0,0
GREEN,2017-05-30 08:11:37.3900000,2017-05-30 11:14:40.3650000,0.0,0
GREEN,2017-09-16 13:45:17.8150000,2017-09-16 13:45:25.6020000,0.0,0
GREEN,2017-12-15 17:43:40.2580000,2017-12-15 17:59:48.0770000,0.0,0
GREEN,2017-03-12 23:26:52.3960000,2017-03-13 09:28:48.2650000,0.0,0
GREEN,2017-07-21 19:30:02.5560000,2017-07-21 19:39:26.0680000,0.0,0
GREEN,2017-10-08 16:26:09.2570000,2017-10-08 16:37:36.1900000,0.0,0
RED,2017-08-13 12:33:26.0620000,2017-08-13 12:40:45.5040000,1.41,2
GREEN,2017-05-13 13:37:03.1530000,2017-05-13 13:37:19.5970000,0.0,0
GREEN,2017-04-23 11:10:28.7320000,2017-04-23 11:24:21.4970000,0.0,0
RED,2017-11-19 15:45:57.6650000,2017-11-19 18:46:49.2980000,0.0,5
GREEN,2017-07-26 13:48:30.6640000,2017-07-26 13:48:59.4590000,0.0,0
GREEN,2017-07-30 21:45:25.6590000,2017-07-31 07:10:10.5520000,0.0,0
RED,2017-02-17 17:44:57.5370000,2017-02-17 18:04:36.9520000,4.03,7
RED,2017-02-24 18:52:25.4540000,2017-02-24 19:12:17.6240000,4.03,6
GREEN,2017-07-16 21:10:17.6190000,2017-07-16 22:40:58.7710000,0.0,0
RED,2017-12-06 07:17:02.3940000,2017-12-06 07:36:16.6120000,4.37,3
GREEN,2017-08-20 21:58:35.9670000,2017-08-21 06:20:57.6950000,0.0,0
GREEN,2017-08-10 18:40:47.0180000,2017-08-10 18:46:11.7740000,0.0,0
GREEN,2017-11-18 03:21:08.5100000,2017-11-18 03:34:46.3420000,0.0,0
RED,2017-10-14 16:23:08.6530000,2017-10-14 16:52:44.5060000,6.55,11
GREEN,2017-01-29 07:49:10.1680000,2017-01-29 07:49:49.9740000,0.0,0
GREEN,2017-04-06 21:44:37.8240000,2017-04-06 22:02:50.7550000,0.0,0
GREEN,2017-06-13 17:52:33.0950000,2017-06-13 17:53:00.8300000,0.0,0
RED,2017-07-22 16:21:56.9590000,2017-07-22 16:41:07.4360000,3.83,9
GREEN,2017-03-16 17:54:09.0510000,2017-03-16 18:18:16.8120000,0.0,0
RED,2017-05-02 21:32:28.6510000,2017-05-02 21:49:15.8690000,4.43,5
GREEN,2017-10-26 08:00:02.5680000,2017-10-26 08:01:06.6490000,0.0,0
RED,2017-10-02 15:25:48.3840000,2017-10-02 15:38:54.3900000,3.06,4
RED,2017-11-18 16:06:13.8620000,2017-11-18 16:22:23.3170000,3.71,7
RED,2017-09-06 06:33:05.4410000,2017-09-06 07:06:45.6270000,6.49,11
RED,2017-03-22 06:16:22.7610000,2017-03-22 06:39:07.3750000,4.64,7
GREEN,2017-08-28 06:20:08.9800000,2017-08-28 06:25:49.2710000,0.0,0
RED,2017-05-05 20:43:11.8050000,2017-05-05 20:58:39.7050000,3.03,5
GREEN,2017-09-20 09:05:10.3050000,2017-09-20 15:21:49.0640000,0.0,0
RED,2017-05-23 23:18:58.7510000,2017-05-23 23:42:09.4750000,4.84,19
RED,2017-12-09 18:47:50.3880000,2017-12-09 18:59:55.9150000,2.84,3
RED,2017-08-24 14:23:27.7110000,2017-08-24 14:42:34.9540000,3.83,7
GREEN,2017-03-17 19:36:28.4300000,2017-03-17 19:37:20.8510000,0.0,0
RED,2017-12-17 23:32:47.7850000,2017-12-17 23:53:35.4700000,6.0,11
GREEN,2017-07-15 11:46:38.4530000,2017-07-15 12:04:14.2600000,0.0,0
GREEN,2017-04-18 23:35:10.0280000,2017-04-19 04:03:19.7920000,0.0,0
RED,2017-07-19 16:19:38.3450000,2017-07-19 16:34:28.2820000,3.03,4
RED,2017-09-07 09:09:19.6170000,2017-09-07 09:30:39.8940000,4.24,5
RED,2017-11-21 21:10:20.0920000,2017-11-21 21:18:13.3060000,2.08,3
RED,2017-04-25 21:57:19.2060000,2017-04-25 22:10:46.9590000,2.62,5
RED,2017-03-18 02:08:04.6340000,2017-03-18 02:27:02.9880000,3.83,9
GREEN,2017-11-02 19:13:14.2010000,2017-11-02 19:30:57.0190000,0.0,0
RED,2017-07-03 07:44:19.0000000,2017-07-03 07:55:05.1760000,2.22,4
RED,2017-02-06 19:47:53.4120000,2017-02-06 20:00:00.6080000,2.98,4
GREEN,2017-10-07 18:46:10.0310000,2017-10-07 18:49:44.3100000,0.0,0
RED,2017-06-20 18:46:23.8180000,2017-06-20 18:58:07.5050000,3.13,4
GREEN,2017-08-27 19:26:10.0240000,2017-08-27 19:53:00.2340000,0.0,0
RED,2017-10-20 07:31:46.1210000,2017-10-20 07:43:21.3300000,2.62,5
GREEN,2017-07-15 18:10:28.3610000,2017-07-15 19:23:16.4510000,0.0,0
GREEN,2017-08-14 20:32:54.5880000,2017-08-15 00:43:53.6170000,0.0,0
RED,2017-07-29 17:15:10.9120000,2017-07-29 17:43:26.0450000,5.56,13
GREEN,2017-06-24 15:31:57.6590000,2017-06-24 15:32:37.4600000,0.0,0
GREEN,2017-01-25 19:17:15.1880000,2017-01-25 19:17:48.3880000,0.0,0
GREEN,2017-04-18 17:41:57.4930000,2017-04-18 17:58:48.1860000,0.0,0
GREEN,2017-07-28 16:15:32.1020000,2017-07-28 17:05:26.1150000,0.0,0
GREEN,2017-12-14 18:37:00.4190000,2017-12-14 18:44:18.3100000,0.0,0
GREEN,2017-02-26 18:03:53.1440000,2017-02-26 19:15:53.9630000,0.0,0
GREEN,2017-01-24 16:07:03.7750000,2017-01-24 16:09:48.1470000,0.0,0
GREEN,2017-08-07 00:35:40.5060000,2017-08-07 06:49:13.4740000,0.0,0
GREEN,2017-11-12 07:20:26.2470000,2017-11-12 08:52:26.9420000,0.0,0
RED,2017-08-16 21:18:47.6250000,2017-08-16 21:47:09.3990000,5.65,13
RED,2017-10-20 18:49:14.3400000,2017-10-20 19:12:54.7030000,5.24,6
GREEN,2017-08-03 08:59:22.1240000,2017-08-03 11:22:05.4120000,0.0,0
RED,2017-05-07 21:02:18.6420000,2017-05-07 21:17:05.8840000,3.91,4
GREEN,2017-11-04 02:21:46.9460000,2017-11-04 09:56:42.0990000,0.0,0
RED,2017-11-13 20:39:47.3310000,2017-11-13 20:44:45.2240000,1.43,3
GREEN,2017-09-22 08:34:49.9330000,2017-09-22 11:36:03.3400000,0.0,0
GREEN,2017-12-19 14:06:50.0560000,2017-12-19 14:10:00.1290000,0.0,0
GREEN,2017-03-03 18:12:50.6820000,2017-03-03 18:15:34.3490000,0.0,0
GREEN,2017-10-20 08:50:52.8610000,2017-10-20 09:32:47.9970000,0.0,0
RED,2017-06-30 06:13:48.9670000,2017-06-30 06:28:40.9580000,3.91,5
GREEN,2017-05-31 14:55:23.2060000,2017-05-31 18:49:16.9780000,0.0,0
GREEN,2017-10-01 19:03:12.5160000,2017-10-01 19:45:29.9770000,0.0,0
GREEN,2017-07-16 01:44:57.2940000,2017-07-16 04:02:16.2330000,0.0,0
RED,2017-03-28 17:26:26.7280000,2017-03-28 18:16:59.4170000,12.39,9
RED,2017-05-21 11:49:15.6480000,2017-05-21 11:56:06.9560000,1.21,2
RED,2017-04-21 04:24:45.7090000,2017-04-21 04:46:11.0590000,6.03,11
RED,2017-05-27 14:27:20.1810000,2017-05-27 14:34:52.0710000,1.61,3
RED,2017-04-16 06:57:35.6720000,2017-04-16 07:05:26.5450000,1.61,4
RED,2017-03-25 13:58:18.9430000,2017-03-25 14:24:34.2330000,5.24,9
RED,2017-04-22 18:29:04.2250000,2017-04-22 18:49:38.0620000,4.03,5
GREEN,2017-05-01 10:33:06.6350000,2017-05-01 10:52:26.0180000,0.0,0
RED,2017-12-01 16:43:18.1630000,2017-12-01 17:28:10.3450000,9.83,2
GREEN,2017-01-07 17:28:23.8990000,2017-01-07 17:50:04.8990000,0.0,0
RED,2017-06-19 15:19:32.7320000,2017-06-19 15:55:15.3520000,10.29,16
RED,2017-02-22 09:49:35.5840000,2017-02-22 10:25:05.5680000,9.18,18
GREEN,2017-05-14 11:24:29.0890000,2017-05-14 11:43:22.3980000,0.0,0
GREEN,2017-03-26 15:20:10.0550000,2017-03-26 15:42:56.0360000,0.0,0
GREEN,2017-10-29 02:12:10.1120000,2017-10-29 02:15:48.9040000,0.0,0
RED,2017-09-22 00:36:07.6880000,2017-09-22 00:44:50.2860000,1.97,2
GREEN,2017-06-03 01:36:38.6250000,2017-06-03 01:37:18.3890000,0.0,0
RED,2017-03-25 11:53:37.6920000,2017-03-25 12:39:02.0010000,8.94,17
RED,2017-01-20 09:55:23.2910000,2017-01-20 10:18:19.0790000,4.64,12
RED,2017-01-19 16:10:11.4270000,2017-01-19 16:52:15.8710000,11.37,12
RED,2017-02-01 20:21:40.5460000,2017-02-01 20:22:04.8750000,0.0,0
RED,2017-10-24 01:03:10.5860000,2017-10-24 01:06:42.7620000,0.87,1
RED,2017-08-20 03:17:53.0030000,2017-08-20 03:28:23.4690000,2.02,7
GREEN,2017-01-17 08:16:10.0280000,2017-01-17 08:16:38.5330000,0.0,0
RED,2017-08-21 19:07:07.6040000,2017-08-21 19:18:06.5510000,2.22,3
RED,2017-06-17 19:18:22.1880000,2017-06-17 19:21:51.1320000,0.61,0
RED,2017-08-01 13:14:29.4980000,2017-08-01 13:26:32.3300000,2.42,4
RED,2017-05-03 15:26:29.8040000,2017-05-03 15:32:55.3970000,1.62,1
GREEN,2017-02-19 01:38:51.3970000,2017-02-19 05:40:32.8100000,0.0,0
GREEN,2017-01-15 08:37:31.1680000,2017-01-15 09:55:26.1500000,0.0,0
GREEN,2017-12-12 16:57:58.4660000,2017-12-12 16:59:37.0810000,0.0,0
GREEN,2017-01-30 20:50:19.5120000,2017-01-30 20:56:32.3860000,0.0,0
GREEN,2017-08-22 19:08:20.5170000,2017-08-22 21:18:16.9930000,0.0,0
GREEN,2017-10-11 12:29:18.3870000,2017-10-12 07:45:59.0350000,0.0,0
RED,2017-10-27 21:50:05.4910000,2017-10-27 22:03:12.7490000,2.84,3
RED,2017-10-12 22:47:27.8180000,2017-10-12 23:03:10.7110000,4.17,5
GREEN,2017-03-16 12:11:43.2970000,2017-03-17 07:08:05.3560000,0.0,0
GREEN,2017-07-12 13:28:29.3820000,2017-07-12 15:05:35.0900000,0.0,0
